Title,Genre,Years,Area,Revenue,Subscribers
Altered Carbon,Science fiction,Q1 - 2018,United States and Canada,1976157000,60909000
Seven Seconds,Crime drama,Q1 - 2018,United States and Canada,1976157000,60909000
Everything Sucks!,Coming-of-age comedy,Q1 - 2018,United States and Canada,1976157000,60909000
On My Block,Coming-of-age comedy,Q1 - 2018,United States and Canada,1976157000,60909000
Devilman Crybaby,Supernatural horror,Q1 - 2018,United States and Canada,1976157000,60909000
B: The Beginning,Suspense,Q1 - 2018,United States and Canada,1976157000,60909000
A.I.C.O. -Incarnation-,Science fiction,Q1 - 2018,United States and Canada,1976157000,60909000
Sword Gai: The Animation,Supernatural,Q1 - 2018,United States and Canada,1976157000,60909000
Lost Song,Musical fantasy,Q1 - 2018,United States and Canada,1976157000,60909000
Trolls: The Beat Goes On!,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Llama Llama,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Luna Petunia: Return to Amazia,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Alexa & Katie,Sitcom,Q1 - 2018,United States and Canada,1976157000,60909000
Edha,Drama,Q1 - 2018,United States and Canada,1976157000,60909000
The Mechanism,Crime drama,Q1 - 2018,United States and Canada,1976157000,60909000
Rotten,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Somebody Feed Phil,Travel documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Drug Lords,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Dirty Money,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Coach Snoop,Sport,Q1 - 2018,United States and Canada,1976157000,60909000
First Team: Juventus,Sport,Q1 - 2018,United States and Canada,1976157000,60909000
Ugly Delicious,Travel documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Flint Town,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Girls Incarcerated,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Wild Wild Country,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Rapture,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Queer Eye,Makeover reality,Q1 - 2018,United States and Canada,1976157000,60909000
Nailed It!,Competition,Q1 - 2018,United States and Canada,1976157000,60909000
My Next Guest Needs No Introduction with David Letterman,Interview,Q1 - 2018,United States and Canada,1976157000,60909000
The Joel McHale Show with Joel McHale,Comedy,Q1 - 2018,United States and Canada,1976157000,60909000
Lost in Space,Science fiction,Q2 - 2018,United States and Canada,2049546000,61870000
Aggretsuko,Comedy,Q2 - 2018,United States and Canada,2049546000,61870000
Baki,Martial arts,Q2 - 2018,United States and Canada,2049546000,61870000
The Boss Baby: Back in Business,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Spy Kids: Mission Critical,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
The Hollow,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
True: Magical Friends,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
True: Wonderful Wishes,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Harvey Girls Forever!,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Dance & Sing with True,chrildrens musical short,Q2 - 2018,United States and Canada,2049546000,61870000
The Who Was? Show,Educational,Q2 - 2018,United States and Canada,2049546000,61870000
The Rain,Post-apocalyptic drama,Q2 - 2018,United States and Canada,2049546000,61870000
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,Q2 - 2018,United States and Canada,2049546000,61870000
Bobby Kennedy for President,History,Q2 - 2018,United States and Canada,2049546000,61870000
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,Q2 - 2018,United States and Canada,2049546000,61870000
Explained,Docu-series,Q2 - 2018,United States and Canada,2049546000,61870000
November 13: Attack on Paris,Documentary,Q2 - 2018,United States and Canada,2049546000,61870000
Fastest Car,Motoring television series,Q2 - 2018,United States and Canada,2049546000,61870000
Cooking on High,Cooking show,Q2 - 2018,United States and Canada,2049546000,61870000
A Little Help with Carol Burnett,Variety show,Q2 - 2018,United States and Canada,2049546000,61870000
Busted!,Korean language variety show,Q2 - 2018,United States and Canada,2049546000,61870000
The Break with Michelle Wolf,Late-night,Q2 - 2018,United States and Canada,2049546000,61870000
Insatiable,Dark comedy-drama,Q3 - 2018,United States and Canada,2094850000,63010000
The Innocents,Supernatural fiction,Q3 - 2018,United States and Canada,2094850000,63010000
The Good Cop,Police procedural comedy-drama,Q3 - 2018,United States and Canada,2094850000,63010000
All About the Washingtons,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Maniac,Dark comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Disenchantment,Medieval fantasy comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Paradise PD,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
The Epic Tales of Captain Underpants,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Cupcake & Dino: General Services,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
The Dragon Prince,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Hilda,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Super Monsters Monster Party,chrildrens musical short,Q3 - 2018,United States and Canada,2094850000,63010000
The Ponysitters Club,Drama,Q3 - 2018,United States and Canada,2094850000,63010000
Sacred Games,Drama,Q3 - 2018,United States and Canada,2094850000,63010000
Samantha!,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Jimmy: The True Story of a True Idiot,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Switched,Science fiction,Q3 - 2018,United States and Canada,2094850000,63010000
The House of Flowers,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Ghoul,Horror miniseries,Q3 - 2018,United States and Canada,2094850000,63010000
Dark Tourist,Travel documentary,Q3 - 2018,United States and Canada,2094850000,63010000
Marching Orders,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
72 Dangerous Animals: Asia,Nature,Q3 - 2018,United States and Canada,2094850000,63010000
Afflicted,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Follow This,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Boca Juniors Confidential,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Sugar Rush,Baking competition,Q3 - 2018,United States and Canada,2094850000,63010000
Amazing Interiors,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Magic for Humans,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Stay Here,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
First and Last,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Car Masters: Rust to Riches,Motoring television series,Q3 - 2018,United States and Canada,2094850000,63010000
Battlefish,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Made In Mexico,Spanish language reality series,Q3 - 2018,United States and Canada,2094850000,63010000
Norm Macdonald Has a Show,Talk show,Q3 - 2018,United States and Canada,2094850000,63010000
The Haunting,Horror anthology,Q4 - 2018,United States and Canada,2160979000,64757000
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,Q4 - 2018,United States and Canada,2160979000,64757000
Narcos: Mexico,Crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
Tidelands,Supernatural crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
The Kominsky Method,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Super Drags,Superhero-LGBT comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Hero Mask,Crime,Q4 - 2018,United States and Canada,2160979000,64757000
Larva Island,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
She-Ra and the Princesses of Power,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Kulipari: Dream Walker,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Motown Magic,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
3Below: Tales of Arcadia,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Best.Worst.Weekend.Ever.,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Brainchild,Educational,Q4 - 2018,United States and Canada,2160979000,64757000
Prince of Peoria,Sitcom,Q4 - 2018,United States and Canada,2160979000,64757000
YG Future Strategy Office,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Élite,Crime teen drama,Q4 - 2018,United States and Canada,2160979000,64757000
Wild District,Crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
1983,Spy thriller,Q4 - 2018,United States and Canada,2160979000,64757000
Baby,Drama,Q4 - 2018,United States and Canada,2160979000,64757000
Dogs of Berlin,Drama,Q4 - 2018,United States and Canada,2160979000,64757000
The Hook Up Plan,Romantic comedy,Q4 - 2018,United States and Canada,2160979000,64757000
The Protector,Supernatural mystery,Q4 - 2018,United States and Canada,2160979000,64757000
Diablero,Horror fantasy thriller,Q4 - 2018,United States and Canada,2160979000,64757000
Selection Day,Drama,Q4 - 2018,United States and Canada,2160979000,64757000
"Salt, Fat, Acid, Heat",Travel documentary,Q4 - 2018,United States and Canada,2160979000,64757000
FightWorld,Travel documentary,Q4 - 2018,United States and Canada,2160979000,64757000
Terrorism Close Calls,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Medal of Honor,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Dogs,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Vai Anitta,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Inside the Real Narcos,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Sunderland 'Til I Die,Sport,Q4 - 2018,United States and Canada,2160979000,64757000
The Innocent Man,True crime,Q4 - 2018,United States and Canada,2160979000,64757000
7 Days Out,Docu-series,Q4 - 2018,United States and Canada,2160979000,64757000
Murder Mountain,True crime,Q4 - 2018,United States and Canada,2160979000,64757000
Dancing Queen,Celebrity,Q4 - 2018,United States and Canada,2160979000,64757000
The Curious Creations of Christine McConnell,Cooking show,Q4 - 2018,United States and Canada,2160979000,64757000
Haunted,Horror,Q4 - 2018,United States and Canada,2160979000,64757000
Westside,Music,Q4 - 2018,United States and Canada,2160979000,64757000
The Final Table,Culinary competition,Q4 - 2018,United States and Canada,2160979000,64757000
Death by Magic,Reality,Q4 - 2018,United States and Canada,2160979000,64757000
Nailed It! Holiday,Reality competition,Q4 - 2018,United States and Canada,2160979000,64757000
Patriot Act with Hasan Minhaj,Talk show,Q4 - 2018,United States and Canada,2160979000,64757000
The Fix,Panel show,Q4 - 2018,United States and Canada,2160979000,64757000
The Umbrella Academy,Superhero action,Q1 - 2019,United States and Canada,2256851000,66633000
The Order,Supernatural horror drama,Q1 - 2019,United States and Canada,2256851000,66633000
Shadow,Thriller,Q1 - 2019,United States and Canada,2256851000,66633000
Sex Education,Coming-of-age comedy-drama,Q1 - 2019,United States and Canada,2256851000,66633000
Russian Doll,Comedy,Q1 - 2019,United States and Canada,2256851000,66633000
After Life,Comedy,Q1 - 2019,United States and Canada,2256851000,66633000
Turn Up Charlie,Comedy,Q1 - 2019,United States and Canada,2256851000,66633000
"Love, Death & Robots",Anthology,Q1 - 2019,United States and Canada,2256851000,66633000
Trailer Park Boys: The Animated Series,Mockumentary,Q1 - 2019,United States and Canada,2256851000,66633000
Pinky Malinky,childrens-animation,Q1 - 2019,United States and Canada,2256851000,66633000
Carmen Sandiego,childrens-animation,Q1 - 2019,United States and Canada,2256851000,66633000
YooHoo to the Rescue,childrens-animation,Q1 - 2019,United States and Canada,2256851000,66633000
Charlie's Colorforms City,childrens-animation,Q1 - 2019,United States and Canada,2256851000,66633000
Kingdom,Fantasy,Q1 - 2019,United States and Canada,2256851000,66633000
Always a Witch,Supernatural drama,Q1 - 2019,United States and Canada,2256851000,66633000
Go! Live Your Way,Musical,Q1 - 2019,United States and Canada,2256851000,66633000
Delhi Crime,Police procedural,Q1 - 2019,United States and Canada,2256851000,66633000
Most Beautiful Thing,Period drama,Q1 - 2019,United States and Canada,2256851000,66633000
Crime Diaries: The Candidate,Crime anthology series,Q1 - 2019,United States and Canada,2256851000,66633000
Osmosis,Science fiction/drama,Q1 - 2019,United States and Canada,2256851000,66633000
Trigger Warning with Killer Mike,Docu-series,Q1 - 2019,United States and Canada,2256851000,66633000
Conversations with a Killer: The Ted Bundy Tapes,True crime,Q1 - 2019,United States and Canada,2256851000,66633000
Examination of Conscience,True crime,Q1 - 2019,United States and Canada,2256851000,66633000
Larry Charles: The Dangerous World of Comedy,Docu-series,Q1 - 2019,United States and Canada,2256851000,66633000
Losers,Sport,Q1 - 2019,United States and Canada,2256851000,66633000
Cricket Fever: Mumbai Indians,Sport,Q1 - 2019,United States and Canada,2256851000,66633000
Formula 1: Drive to Survive,Sport,Q1 - 2019,United States and Canada,2256851000,66633000
The Disappearance of Madeleine McCann,True crime,Q1 - 2019,United States and Canada,2256851000,66633000
Tidying Up with Marie Kondo,Reality show,Q1 - 2019,United States and Canada,2256851000,66633000
Nailed It! Mexico,Reality,Q1 - 2019,United States and Canada,2256851000,66633000
Dating Around,Reality,Q1 - 2019,United States and Canada,2256851000,66633000
Selling Sunset,Reality,Q1 - 2019,United States and Canada,2256851000,66633000
Black Summer,Zombie drama,Q2 - 2019,United States and Canada,2501199000,66501000
Chambers,Teen psychological thriller,Q2 - 2019,United States and Canada,2501199000,66501000
The Society,Mystery drama,Q2 - 2019,United States and Canada,2501199000,66501000
What/If,Social thriller anthology,Q2 - 2019,United States and Canada,2501199000,66501000
When They See Us,Drama,Q2 - 2019,United States and Canada,2501199000,66501000
Trinkets,Coming-of-age drama,Q2 - 2019,United States and Canada,2501199000,66501000
Huge in France,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Special,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Lunatics,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
I Think You Should Leave with Tim Robinson,Sketch comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Bonding,Dark comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Dead to Me,Dark comedy-drama,Q2 - 2019,United States and Canada,2501199000,66501000
It's Bruno!,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Mr. Iglesias,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Tuca & Bertie,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Ultraman,Science fiction,Q2 - 2019,United States and Canada,2501199000,66501000
Rilakkuma and Kaoru,Stop motion slice of life,Q2 - 2019,United States and Canada,2501199000,66501000
7 Seeds,Science fiction,Q2 - 2019,United States and Canada,2501199000,66501000
Mighty Little Bheem,childrens-animation,Q2 - 2019,United States and Canada,2501199000,66501000
Super Monsters Monster Pets,childrens-animation,Q2 - 2019,United States and Canada,2501199000,66501000
No Good Nick,Sitcom,Q2 - 2019,United States and Canada,2501199000,66501000
Malibu Rescue: The Series,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Quicksand,Crime drama,Q2 - 2019,United States and Canada,2501199000,66501000
Persona,Drama anthology series,Q2 - 2019,United States and Canada,2501199000,66501000
My First First Love,Romantic comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Crime Diaries: Night Out,Crime anthology series,Q2 - 2019,United States and Canada,2501199000,66501000
High Seas,Mystery period drama,Q2 - 2019,United States and Canada,2501199000,66501000
How to Sell Drugs Online (Fast),Dark comedy,Q2 - 2019,United States and Canada,2501199000,66501000
Jinn,Fantasy adventure,Q2 - 2019,United States and Canada,2501199000,66501000
Yankee,Drama,Q2 - 2019,United States and Canada,2501199000,66501000
Leila,Drama,Q2 - 2019,United States and Canada,2501199000,66501000
Family Business,Comedy,Q2 - 2019,United States and Canada,2501199000,66501000
The Chosen One,Thriller drama,Q2 - 2019,United States and Canada,2501199000,66501000
Our Planet,Nature documentary,Q2 - 2019,United States and Canada,2501199000,66501000
Street Food,Culinary art,Q2 - 2019,United States and Canada,2501199000,66501000
1994,Docu-series,Q2 - 2019,United States and Canada,2501199000,66501000
Killer Ratings,Docu-series,Q2 - 2019,United States and Canada,2501199000,66501000
The Chef Show,Culinary art,Q2 - 2019,United States and Canada,2501199000,66501000
The Alcàsser Murders,True crime,Q2 - 2019,United States and Canada,2501199000,66501000
Exhibit A,True crime,Q2 - 2019,United States and Canada,2501199000,66501000
You vs. Wild,Interactive Reality,Q2 - 2019,United States and Canada,2501199000,66501000
Flinch,Reality television/game show,Q2 - 2019,United States and Canada,2501199000,66501000
Jailbirds,Reality television,Q2 - 2019,United States and Canada,2501199000,66501000
Awake: The Million Dollar Game,Reality television,Q2 - 2019,United States and Canada,2501199000,66501000
Another Life,Science-fiction,Q3 - 2019,United States and Canada,2621250000,67114000
The Dark Crystal: Age of Resistance,Fantasy,Q3 - 2019,United States and Canada,2621250000,67114000
Family Reunion[64],Comedy,Q3 - 2019,United States and Canada,2621250000,67114000
The Politician,Comedy,Q3 - 2019,United States and Canada,2621250000,67114000
Knights of the Zodiac: Saint Seiya,Action,Q3 - 2019,United States and Canada,2621250000,67114000
Kengan Ashura,Action,Q3 - 2019,United States and Canada,2621250000,67114000
True Tunes,chrildrens musical short,Q3 - 2019,United States and Canada,2621250000,67114000
Typewriter,Horror,Q3 - 2019,United States and Canada,2621250000,67114000
The Naked Director,Drama,Q3 - 2019,United States and Canada,2621250000,67114000
Sintonia,Drama,Q3 - 2019,United States and Canada,2621250000,67114000
Love Alarm,Romantic comedy,Q3 - 2019,United States and Canada,2621250000,67114000
The Last Czars,Docu-series,Q3 - 2019,United States and Canada,2621250000,67114000
